[FAILED] 10.1016/j.shpsc.2010.08.002 | 错误: 未找到PDF链接 | 域名: https://sci-hub.fr/
[FAILED] 10.1080/03085140903424519 | 错误: 未找到PDF链接 | 域名: https://sci-hub.fr/
[FAILED] 10.2307/2095325 | 错误: 未找到PDF链接 | 域名: https://sci-hub.ee/
[FAILED] 10.1080/14693062.2013.791146 | 错误: 未找到PDF链接 | 域名: https://sci-hub.ee/
[FAILED] 10.1177/030631289019003001 | 错误: 未找到PDF链接 | 域名: https://sci-hub.st/
[FAILED] 10.1057/9781137446138_7 | 错误: 未找到PDF链接 | 域名: https://sci-hub.shop/
[FAILED] 10.1080/03085140903020580 | 错误: HTTPSConnectionPool(host='sci-hub.se', port=443):  | 域名: https://sci-hub.se/
[FAILED] 10.1111/j.1467-999X.1960.tb00275.x | 错误: 未找到PDF链接 | 域名: https://sci-hub.ru/
[FAILED] 10.1002/wcc.613 | 错误: 未找到PDF链接 | 域名: https://sci-hub.st/
[FAILED] 10.1257/jel.45.3.703 | 错误: 未找到PDF链接 | 域名: https://sci-hub.ru/
[FAILED] 10.1787/5k44zcqbbj42-en | 错误: 未找到PDF链接 | 域名: https://sci-hub.ee/
[FAILED] 10.1177/0002764207299351 | 错误: HTTPSConnectionPool(host='sci-hub.tw', port=443):  | 域名: https://sci-hub.tw/
[FAILED] 10.1080/14693062.2022.2114985 | 错误: 未找到PDF链接 | 域名: https://sci-hub.ru/
[FAILED] 10.1007/s10784-016-9347-4 | 错误: HTTPSConnectionPool(host='sci-hub.la', port=443):  | 域名: https://sci-hub.la/
[FAILED] 10.1016/0301-4215(92)90024-V | 错误: 未找到PDF链接 | 域名: https://sci-hub.ren/
[FAILED] 10.1002/wcc.437 | 错误: HTTPSConnectionPool(host='sci-hub.la', port=443):  | 域名: https://sci-hub.la/
